SETTD,Actual,ARIMA,ARIMA (Walk-Forward)
2019-03-18,5367062.835,5669123.8523609005,4635047.773780203
2019-03-19,5171079.507,5669123.978790712,5418859.633642492
2019-03-20,5257269.666999999,5669124.083418751,5258309.519768739
2019-03-21,5274012.752,5669124.170004554,5328851.349023417
2019-03-22,5615629.672,5669124.241659354,5342520.296978126
2019-03-23,4901701.555,5669124.300957879,5622274.1985356435
2019-03-24,4808274.6219999995,5669124.3500308655,5037579.567573085
2019-03-25,4862618.865,5669124.390641622,4960916.4631047025
2019-03-26,4757252.095,5669124.424249392,5005310.33259253
2019-03-27,4768582.166,5669124.45206178,4918836.553132218
2019-03-28,4909368.82,5669124.4750781525,4927969.037274904
2019-03-29,4908211.427,5669124.494125543,5043218.3685561605
2019-03-30,4635999.553,5669124.50988837,5042158.818102494
2019-03-31,4588015.705,5669124.522933027,4818898.397475905
2019-04-01,5214935.935,5669124.533728242,4779350.46805798
2019-04-02,5039796.03,5669124.542661911,5293173.880223573
2019-04-03,4921582.158,5669124.550055042,5149592.640054653
2019-04-04,4885117.834,5669124.556173289,5052613.800199041
2019-04-05,4991246.994,5669124.561236497,5022612.7141287
2019-04-06,4280720.8719999995,5669124.5654265955,5109508.606145625
2019-04-07,4143412.337,5669124.568894146,4526742.577663677
2019-04-08,4810168.72,5669124.571763746,4413638.149669562
2019-04-09,5006604.836,5669124.574138509,4960556.1835638005
2019-04-10,5425019.87,5669124.576103764,5121526.718602041
2019-04-11,5127091.771000002,5669124.577730125,5464498.1549443845
2019-04-12,5063998.391,5669124.579076035,5220247.782026061
2019-04-13,4510730.704,5669124.580189854,5168453.641912394
2019-04-14,4246244.032,5669124.581111604,4714626.342726689
2019-04-15,4891026.351,5669124.581874406,4497272.5109981345
2019-04-16,5094639.891,5669124.582505669,5026214.745651813
2019-04-17,5397204.949,5669124.583028076,5193108.949351888
2019-04-18,4769114.6280000005,5669124.583460398,5441150.711085301
2019-04-19,3975759.208,5669124.583818169,4926101.354932161
2019-04-20,3918375.255,5669124.584114246,4274807.537954298
2019-04-21,3848386.4460000005,5669124.584359268,4227056.009671843
2019-04-22,4126558.329,5669124.584562037,4168865.5827943734
2019-04-23,4889017.17,5669124.584729841,4397013.0607496435
2019-04-24,4869106.4569999995,5669124.584868707,5023149.848682419
2019-04-25,4323241.373,5669124.584983626,5006693.016335943
2019-04-26,5253234.323,5669124.585078729,4558272.761905298
2019-04-27,5054750.271000002,5669124.5851574335,5321826.86416419
2019-04-28,4918482.9569999995,5669124.585222565,5158899.015321643
2019-04-29,5583997.199,5669124.585276466,5046974.8981250115
2019-04-30,5371363.783,5669124.585321071,5593067.095700192
2019-05-01,5055002.118,5669124.5853579845,5418604.78521028
2019-05-02,5062608.289,5669124.585388534,5158989.488625858
2019-05-03,4973931.97,5669124.585413814,5165158.404041311
2019-05-04,4846041.898,5669124.585434735,5092304.9750466915
2019-05-05,4919476.231000002,5669124.585452048,4987231.936613491
2019-05-06,5633232.967,5669124.585466376,5047402.465846793
2019-05-07,5610002.489,5669124.585478233,5633112.660890317
2019-05-08,5866443.036,5669124.585488046,5614052.353139829
2019-05-09,6133333.436000003,5669124.585496167,5824456.337112283
2019-05-10,6434975.967,5669124.585502887,6043477.1710988
2019-05-11,5607099.876,5669124.585508449,6291108.173903711
2019-05-12,5225233.373,5669124.585513052,5611820.251206297
2019-05-13,5731186.8620000025,5669124.585516861,5298552.5796090085
2019-05-14,5614953.955,5669124.585520012,5713564.714804145
2019-05-15,5733754.164,5669124.58552262,5618232.548934212
