ds,Actual,Prophet,Prophet (Walk-Forward)
2019-02-18,5061732.575,5111559.818774068,5130204.078406956
2019-02-19,4718008.299,5178097.357468885,5219617.299663302
2019-02-20,4741220.826,5231408.442303093,5277025.568278298
2019-02-21,4717467.605,5269146.044774626,5319680.469730506
2019-02-22,4697509.185,5157485.795777168,5208436.005898461
2019-02-23,4214619.961,4578288.723640375,4611890.402408312
2019-02-24,4846462.989,4525452.830033427,4562030.281476827
2019-02-25,6388268.297,5342608.790943666,5388169.678572046
2019-02-26,5473427.77,5475260.0064628655,5561985.914876557
2019-02-27,5453256.945,5563820.73703573,5649361.830726848
2019-02-28,7456716.714,5602891.362184464,5689508.503171724
2019-03-01,8553113.678,5458994.228962672,5599075.298096187
2019-03-02,7879497.047,4817667.971760147,5032864.706498327
2019-03-03,7429985.339,4679406.48434884,4977765.599828328
2019-03-04,6226115.749,5396642.370585276,5747932.355783232
2019-03-05,5515547.409,5424951.318433829,5770400.247790591
2019-03-06,4778108.335,5415030.837653775,5718105.381251176
2019-03-07,4703388.31,5370904.855656762,5616763.352801403
2019-03-08,4739710.312,5166690.767029758,5362581.131127744
2019-03-09,4168475.7,4492928.489197257,4623055.975243997
2019-03-10,3981188.175,4352037.065884385,4444996.675963682
2019-03-11,4177516.953,5095147.296416735,5149832.649866273
2019-03-12,4783533.231000002,5173499.7339233365,5179450.174040664
2019-03-13,4768200.179,5230937.485892667,5218443.620425051
2019-03-14,4747516.759,5262887.2431988595,5253366.483499208
2019-03-15,4729908.985,5134079.512001722,5135974.0727136545
2019-03-16,4312041.286,4525903.870371166,4521164.518210058
2019-03-17,4410541.412,4432854.279490567,4450972.167254183
2019-03-18,5367062.835,5200207.600923614,5242222.808195585
2019-03-19,5171079.507,5276035.818119761,5340999.389185032
2019-03-20,5257269.666999999,5304018.431949738,5388226.042089365
2019-03-21,5274012.752,5282417.87102519,5396722.63901593
2019-03-22,5615629.672,5081473.597778736,5219551.727090353
2019-03-23,4901701.555,4390149.780144797,4532927.858036917
2019-03-24,4808274.6219999995,4211760.2813131595,4373494.007170412
2019-03-25,4862618.865,4900704.6843027165,5071307.605352171
2019-03-26,4757252.095,4913518.157950398,5066546.905544147
2019-03-27,4768582.166,4900804.45030636,5024436.563086722
2019-03-28,4909368.82,4865507.050243013,4977657.0983107835
2019-03-29,4908211.427,4679845.986485956,4794799.170531444
2019-03-30,4635999.553,4031899.0979568814,4126425.632231689
2019-03-31,4588015.705,3921363.4159216373,4022872.4304501163
2019-04-01,5214935.935,4696709.513670596,4797949.671376733
2019-04-02,5039796.03,4806880.939951779,4911471.026066733
2019-04-03,4921582.158,4894033.632735312,4995548.136564624
2019-04-04,4885117.834,4952680.874171211,5074055.456202924
2019-04-05,4991246.994,4847476.773414648,4979585.388645481
2019-04-06,4280720.8719999995,4260528.052663486,4377829.773911434
2019-04-07,4143412.337,4187695.7414275873,4315148.371529734
2019-04-08,4810168.72,4976048.345711572,5094212.28094491
2019-04-09,5006604.836,5075595.091176961,5180821.678617604
