SETTD,DAILYT
2015-03-23,5275809.565
2015-03-24,5245928.196
2015-03-25,5079068.529
2015-03-26,5298827.587
2015-03-27,5259692.065
2015-03-28,4527233.041
2015-03-29,4289511.893
2015-03-30,5062592.342
2015-03-31,5097043.473
2015-04-01,5241951.937
2015-04-02,4951555.04
2015-04-03,4048837.83
2015-04-04,3957731.328
2015-04-05,3921021.348
2015-04-06,4294193.313999998
2015-04-07,5570188.536
2015-04-08,5454057.927999998
2015-04-09,5410508.097
2015-04-10,5258189.159
2015-04-11,4518692.164
2015-04-12,4541290.6669999985
2015-04-13,5437847.801
2015-04-14,5354072.511
2015-04-15,5265718.138
2015-04-16,5214946.04
2015-04-17,5384302.784
2015-04-18,4751026.029
2015-04-19,5291571.929
2015-04-20,6170134.744
2015-04-21,6065745.043
2015-04-22,5909740.444
2015-04-23,5544215.585
2015-04-24,5341939.364
2015-04-25,5185130.784
2015-04-26,5492762.774
2015-04-27,6256059.234
2015-04-28,6263082.797
2015-04-29,6107447.219
2015-04-30,6046788.41
2015-05-01,5700942.222999998
2015-05-02,4896215.318
2015-05-03,4831539.82
2015-05-04,5637027.562999999
2015-05-05,5846218.666
2015-05-06,6246165.746
2015-05-07,6471351.477999999
2015-05-08,6282960.796
2015-05-09,5229424.231000002
2015-05-10,5396654.0079999985
2015-05-11,6213692.22
2015-05-12,6487846.482999999
2015-05-13,7277481.67
2015-05-14,6977891.217
2015-05-15,6609182.028
2015-05-16,5516237.096
2015-05-17,5318145.231000002
2015-05-18,6134457.887999998
2015-05-19,6382513.345
2015-05-20,6141916.806
2015-05-21,6686799.491
2015-05-22,6568068.798
2015-05-23,5801415.875
2015-05-24,5942000.396000002
2015-05-25,6754113.344
2015-05-26,6973949.995
2015-05-27,6533534.579
2015-05-28,6108761.807999998
2015-05-29,6252344.827000001
2015-05-30,5545821.375
2015-05-31,5846920.695
2015-06-01,7437157.999
2015-06-02,7643998.33
2015-06-03,7395074.315
2015-06-04,8097709.426
2015-06-05,7331860.364
2015-06-06,5915283.709
2015-06-07,5837089.461
2015-06-08,5726236.41
2015-06-09,6867016.182
2015-06-10,7202480.76
2015-06-11,7046992.913
2015-06-12,7410304.946
2015-06-13,6377427.172
2015-06-14,6103293.549
2015-06-15,6862959.832
2015-06-16,6747271.41
2015-06-17,6608447.044
2015-06-18,7066410.237000002
2015-06-19,7140500.892999998
2015-06-20,6717847.261
2015-06-21,6780913.81
2015-06-22,7850350.796
2015-06-23,6895226.413
2015-06-24,6534510.19
2015-06-25,6768384.982999999
2015-06-26,6409799.726
2015-06-27,6159564.205
2015-06-28,6010270.145
2015-06-29,7040983.98
2015-06-30,7132037.835
2015-07-01,6908109.339
2015-07-02,7174838.088
2015-07-03,7442716.88
2015-07-04,7032117.646000002
2015-07-05,6318134.124
2015-07-06,7857784.33
2015-07-07,7249100.143999998
2015-07-08,7189722.762999998
2015-07-09,7251503.785
2015-07-10,7153610.072000002
2015-07-11,6671420.748
2015-07-12,7404935.538
2015-07-13,7847935.332
2015-07-14,8239143.925
2015-07-15,8124273.041
2015-07-16,7779729.65
2015-07-17,7807119.6329999985
2015-07-18,6844022.783
2015-07-19,7194130.167
2015-07-20,8129751.584
2015-07-21,7455642.095
2015-07-22,7034293.927999998
2015-07-23,7119780.623
2015-07-24,7054232.677
2015-07-25,6576430.39
2015-07-26,6882940.889
