,Actual,SARIMA (weekly),SARIMA (Yearly),SARIMAX,SARIMAX (Walk-Forward)
2019-06-06,6809078.004,5918540.272696389,6763432.887,6725581.289329501,7205243.383148119
2019-06-07,6344625.325,5798030.2886435725,6629399.102000001,6672609.476306125,6769813.0290034665
2019-06-08,5734325.357000003,5163916.670960348,6670997.451,6046468.616582634,5813055.759464204
2019-06-09,5342529.573,5036079.117893378,5609452.779,5931401.554913275,5759298.735044413
2019-06-10,5376566.78,5767066.8752052365,5661445.788,6681075.575140264,6278723.279594347
2019-06-11,6155194.425,5803789.745008477,6014314.209,6716610.9162014,5841005.797971263
2019-06-12,6433355.442000003,5871682.1795125995,6696897.584,6813570.588024128,6412924.2051396035
2019-06-13,6275883.267999997,5918540.274217183,6987406.834,6919889.484925257,6631087.19776373
2019-06-14,6299941.323,5798030.289979957,7102734.337,6864109.253114916,6450329.289057375
2019-06-15,6000174.69,5163916.672134684,7290257.34,6234991.4237244455,5831524.291965862
2019-06-16,5889783.24,5036079.118925316,6931895.035,6116780.94128502,5980864.272464056
2019-06-17,6705599.66,5767066.876112044,7188058.321,6863147.3696508985,6680606.553208439
2019-06-18,7364571.87,5803789.745805326,7627793.870000001,6895213.40573471,6802089.425101416
2019-06-19,7655401.336,5871682.180212824,7840493.9470000025,6988544.692923416,7288330.523057
2019-06-20,7913994.631,5918540.274832499,7831342.529,7091078.931796931,7508048.319080725
2019-06-21,7596580.2710000025,5798030.290520661,7591046.8879999975,7031360.744751032,7613052.758827352
2019-06-22,6988195.649,5163916.672609823,7521082.967,6398154.805947539,6772570.107185357
2019-06-23,7409942.241,5036079.11934284,7106427.642999997,6275709.366522089,6705878.891575266
2019-06-24,7927856.494,5767066.876478939,6668797.3829999985,7017697.4570470825,7770736.966141763
2019-06-25,7836930.9679999985,5803789.746127732,7299404.466,7045245.3976212535,7700037.433758264
2019-06-26,7439037.427,5871682.180496136,7188182.5879999995,7133922.607458607,7671501.531281654
2019-06-27,7009704.787000001,5918540.275081458,7756124.581,7231670.71160315,7421246.438418148
2019-06-28,6271463.001,5798030.29073943,7940519.589,7167038.401375627,7046430.444862808
2019-06-29,5990020.74,5163916.672802065,7700068.998,6528794.55998005,5921606.596708824
2019-06-30,6058967.2370000025,5036079.119511771,6884855.859,6401191.783205336,6082056.75579102
2019-07-01,7175122.1379999975,5767066.876627386,6682793.102000001,7137907.577224852,6892182.461189014
2019-07-02,7090941.823,5803789.746258179,7756398.065,7160072.863870656,7222638.534700202
2019-07-03,6904114.578,5871682.180610764,7644821.846,7243261.785260785,7187440.97998234
2019-07-04,7280213.658,5918540.275182187,7034516.127,7335420.805411686,7073683.7318886
2019-07-05,7054741.095,5798030.290827945,6528596.7629999975,7265103.565447949,7236717.470635228
2019-07-06,5943180.679,5163916.672879846,6353159.922,6621084.003843151,6477207.630706727
2019-07-07,5887535.581,5036079.119580121,6408454.7310000025,6487619.871633346,6070682.024955777
2019-07-08,6452831.716,5767066.876687448,6258892.739,7218393.924612347,6801034.281628184
2019-07-09,6848213.57,5803789.746310958,6974922.352000001,7234542.422892066,6746306.542656694
2019-07-10,6931664.708,5871682.180657143,7290911.826,7311644.92971288,7032705.806294465
2019-07-11,7384404.71,5918540.275222941,7587866.391,7397653.40714288,7111092.469583199
2019-07-12,7110957.977999999,5798030.290863758,7623121.413,7321127.065284968,7316750.215853056
2019-07-13,6959715.9739999985,5163916.672911316,7272399.995,6670845.476432603,6514397.483485949
2019-07-14,7242407.417,5036079.1196077755,6518955.703,6531072.084122769,6766825.420646526
2019-07-15,7532929.294,5767066.876711749,6643745.044,7255495.389102442,7724034.641524923
2019-07-16,7226947.882,5803789.746332312,7898302.9010000015,7265257.44259908,7491729.702988583
2019-07-17,7353007.171,5871682.180675908,7389325.457,7335943.638787342,7296237.178926244
2019-07-18,7170230.102000001,5918540.275239431,7328811.516,7415511.8040983025,7409068.668854903
2019-07-19,6808695.86,5798030.290878248,7289178.275,7332527.0399975125,7170307.2678368045
2019-07-20,6056448.446,5163916.672924049,7631096.89,6675774.830680162,6319877.927506195
