,SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
20,21/04/2014,CITIPOWER,4428401.46,88946.17800000001,79832.556,72493.315,67317.815,63983.738,61654.376,60288.365,59147.639,58873.125,58673.904,59541.17,60993.575,64673.077000000005,67518.345,69597.698,74526.905,79646.022,83655.306,87874.5,90446.41900000001,92493.638,93395.015,94432.552,95074.632,96186.991,94990.845,97844.618,100141.01,101220.465,97755.728,96444.195,97860.179,100769.729,106301.784,114188.791,123995.623,132554.883,135288.196,133021.23,129650.248,125345.252,120787.79199999999,115943.868,109070.18699999999,105253.65800000001,104322.929,104866.599,99516.795,MRIM
21,22/04/2014,CITIPOWER,5550592.137,87472.239,77753.842,70688.768,65537.11099999999,62482.419,60343.709,59008.137,58224.793,58142.057,58349.822,60318.598,64719.35400000001,74357.38900000001,88076.004,101027.106,115305.882,125265.48,129972.742,135413.742,139622.12900000002,141734.21300000002,142095.05800000002,142329.499,141470.085,142156.715,142456.17,142749.226,141134.881,139691.206,137713.614,137565.163,139703.07,141761.167,144477.02300000002,147326.076,153174.716,156639.271,156541.39800000002,151672.108,146985.50699999998,141254.667,135525.932,129120.319,120291.071,114497.802,111797.565,111436.92599999999,105210.366,MRIM
22,23/04/2014,CITIPOWER,5290924.89,91981.989,81428.367,73399.37599999999,68072.656,64838.59,62608.319,61485.763,60760.543,60578.77099999999,61003.623,63787.210999999996,68209.247,79122.396,94654.474,107081.005,118257.58,123317.315,124515.32400000001,126166.69300000001,126651.61300000001,127255.302,127196.84800000001,127470.965,126949.883,127456.01199999999,126511.26800000001,127246.60699999999,127145.005,126971.273,125116.15400000001,123927.464,123284.237,123478.291,125035.82199999999,127753.97099999999,137013.559,146468.769,148661.65300000002,145826.068,141285.649,136991.811,132207.298,126933.651,119172.235,114503.23300000001,112833.31199999999,112428.38900000001,105879.306,MRIM
23,24/04/2014,CITIPOWER,5354879.664,92600.599,81403.205,73789.3,68229.615,64847.312000000005,62657.934,61472.252,60548.455,60567.167,61055.217000000004,63436.8,68155.261,79003.826,93940.871,106426.281,120063.302,128925.477,131490.456,132236.797,131721.95,131672.44,130861.133,131290.06,130965.32699999999,131129.44199999998,129459.701,128655.48,127344.09300000001,126138.644,125054.735,123502.675,122791.271,123317.63699999999,126188.849,130340.713,138847.978,146520.156,147791.06,144211.124,139909.296,135260.611,130829.886,125871.45300000001,119936.045,117467.56199999999,117213.53,117960.993,111775.69300000001,MRIM
24,25/04/2014,CITIPOWER,4633000.0139999995,98358.64199999999,87248.881,78893.78,73216.80900000001,69120.644,66506.162,65086.215,64234.715,64127.392,64783.935,66076.193,67408.15400000001,71694.267,76715.69900000001,80578.558,87670.041,94365.961,99155.5,103269.931,105258.946,106433.766,106909.377,106315.668,105495.75300000001,103909.359,102340.171,100839.55300000001,98189.257,96763.58099999999,95452.177,95051.125,95292.222,96229.835,99563.51800000001,105748.618,118102.647,127496.061,129967.3,127584.689,124203.48599999999,120970.266,117752.464,114140.241,110020.23199999999,109763.57400000001,111159.65800000001,114226.821,109308.17,MRIM
25,26/04/2014,CITIPOWER,4766461.615,96727.041,85603.222,77522.974,71381.625,67142.386,64327.18,62326.27099999999,60952.809,60252.751,59766.492,60303.042,61279.508,63906.501,67801.75200000001,70437.687,77161.633,84105.778,88648.99900000001,95488.83,99949.623,103741.13,107895.185,112153.538,112945.15400000001,114188.07199999999,113600.295,113007.9,110112.01,109575.496,109643.944,108784.414,108295.586,108037.271,110722.774,116834.293,128036.281,138208.677,139430.831,136053.915,132512.937,128376.901,124947.147,120802.046,116631.29199999999,115489.144,116867.695,119688.375,114793.20800000001,MRIM
26,27/04/2014,CITIPOWER,4800318.199,101924.00099999999,90636.95300000001,82186.476,75810.563,71073.32400000001,68192.135,66309.548,64796.876,64042.528,63599.973,63755.893,64410.8,66960.977,70363.887,71795.023,77458.047,83994.243,89513.442,94200.538,96676.25099999999,99385.472,100616.30900000001,101368.73199999999,101155.33300000001,100916.345,100097.359,99741.549,99008.401,97975.96,97696.964,97670.78,99413.70800000001,101901.28,107998.008,117684.66900000001,133309.407,148977.615,152903.012,150987.982,147553.494,144002.386,140385.628,134101.292,126219.66,121260.9,119157.82199999999,119186.33,111940.32400000001,MRIM
27,28/04/2014,CITIPOWER,5668943.609,98840.442,87695.73300000001,78843.738,72842.91,69262.107,66561.27799999999,65205.99,64615.081,64538.814000000006,65111.386,68402.817,74057.325,88337.47099999999,108499.373,125333.671,137776.178,140654.563,139665.876,139817.69,141880.316,142877.197,140092.572,138069.089,136246.521,135294.601,134721.952,134180.887,131928.869,132092.779,131444.764,130489.618,129984.089,131314.822,134569.766,140730.994,150140.565,156105.56900000002,157467.175,153764.362,149157.262,143207.314,136879.516,130319.761,122191.18,116180.94,113510.311,112416.145,105622.23,MRIM
28,29/04/2014,CITIPOWER,5603860.873,92178.115,81299.397,73216.22099999999,67506.734,64157.52,61960.749,60836.029,59906.27099999999,59633.416,60035.269,62340.264,66988.443,78153.45,93944.752,107626.1,119093.789,124577.336,126411.787,130030.924,132704.024,134656.169,136355.033,137081.076,137392.65300000002,138223.00199999998,137731.075,138882.657,138095.637,137466.518,136683.696,136443.369,136942.24,139311.015,144424.434,150259.702,154590.052,158988.171,159848.61800000002,156853.73,152401.936,147156.226,141589.415,135524.659,127244.70800000001,122769.847,118404.287,116495.425,109444.933,MRIM
29,30/04/2014,CITIPOWER,5767658.929,94918.541,83953.906,75940.366,70166.058,66704.52900000001,64889.179000000004,64244.599,63224.746,63220.499,63542.873,66785.41,72290.97099999999,85396.32199999999,103681.27699999999,119004.71,132151.372,137339.562,138905.356,140998.47199999998,139585.228,138613.305,138673.889,138944.97699999998,136479.573,138398.385,138604.453,138118.103,135005.51,133194.544,131064.115,129495.26199999999,129215.905,130099.992,133370.577,139500.346,151431.054,161970.87,165329.219,163508.793,160099.44199999998,156089.122,151993.266,145638.81900000002,137185.333,131129.141,126953.175,124350.859,116256.924,MRIM
